code,brand,name_hu,name_main,calorie,protein,fat,carb,image_url
00050678,"M&S, Marks & Spencer, Waitrose",,Diet sparkling fiery ginger beer,1.0,0.1,0.1,0.1,https://images.openfoodfacts.org/images/products/000/000/005/0678/front_en.6.400.jpg
0024463062801,"Huy Fong Foods, Inc.",,Sriracha Hot Chili Sauce,80.0,3.0,0.5,16.0,https://images.openfoodfacts.org/images/products/002/446/306/2801/front_en.47.400.jpg
0084000009508,Bonduelle,,Kidney Bohnen,110.0,7.6,0.6,15.0,https://images.openfoodfacts.org/images/products/008/400/000/9508/front_ro.6.400.jpg
03270727,Vetom,,Vetom 1.1,0.0,0.0,0.0,0.0,https://images.openfoodfacts.org/images/products/000/000/327/0727/front_en.3.400.jpg
10060674,Davidoff,"Grand cuvée, fine aroma","Grand cuvée, fine aroma",0.0,0.0,0.0,0.0,https://images.openfoodfacts.org/images/products/000/001/006/0674/front_hu.3.400.jpg
16107779,"Nestlé, Chocapic",,Chocapic,0.0,0.0,0.0,0.0,https://images.openfoodfacts.org/images/products/000/001/610/7779/front_hu.13.400.jpg
1703543090000,IKEA,Allemansrätten Saucenpulver,Allemansrätten Saucenpulver,80.0,0.9,6.2,5.1,https://images.openfoodfacts.org/images/products/170/354/309/0000/front_hu.92.400.jpg
1903749190003,Ikea,Zabkeksz,KAFFEREP Oat sugar-free,532.0,4.7,33.0,50.0,https://images.openfoodfacts.org/images/products/190/374/919/0003/front_fr.76.400.jpg
2000000028573,"Kinder,Ferrero",,Happy Hippo Cacao,589.0,6.7,38.6,53.6,https://images.openfoodfacts.org/images/products/200/000/002/8573/front_fr.7.400.jpg
2000000057275,SPAR,SPAR ESL tej 1.5%,SPAR ESL milk 1.5%,44.5,3.1,1.5,4.6,https://images.openfoodfacts.org/images/products/200/000/005/7275/front_hu.8.400.jpg
2000000073986,Kinder Bueno,Kinder Bueno White,Kinder Bueno White,0.0,0.0,0.0,0.0,
20000639,"Lidl, Maribel",,extra džem od marelice,233.0,0.7,0.7,55.3,https://images.openfoodfacts.org/images/products/000/002/000/0639/front_en.84.400.jpg
20001094,"Bellarom, GranArom",,Café soluble qualité filtre,0.0,0.0,0.0,0.0,https://images.openfoodfacts.org/images/products/000/002/000/1094/front_en.11.400.jpg
20001407,"Bon Gelati, Gelatelli",Prémium csokoládé jégkrém,Bon Gelati Eiscreme mit Schlagsahne,247.0,4.2,13.2,26.6,https://images.openfoodfacts.org/images/products/000/002/000/1407/front_de.39.400.jpg
20001582,Harvest basket,Krokett,Krokett,171.0,2.5,5.5,26.5,https://images.openfoodfacts.org/images/products/000/002/000/1582/front_en.45.400.jpg
20002077,Milbona,,Milbona Joghurt,61.0,5.0,1.5,6.0,https://images.openfoodfacts.org/images/products/000/002/000/2077/front_hu.68.400.jpg
20002190,Lovilio,Mascarpone - Q10 Intensive Serum,Mascarpone - Q10 Intensive Serum,355.0,5.8,35.5,3.0,https://images.openfoodfacts.org/images/products/000/002/000/2190/front_hu.79.400.jpg
20002589,"Chef Select,Lidl",Lasagne Bolognese sertéshússal,Lasagne Bolognese,147.0,6.5,7.5,12.6,https://images.openfoodfacts.org/images/products/000/002/000/2589/front_hu.62.400.jpg
20002985,Lord Nelson,,Camomile,0.0,0.0,0.0,0.0,https://images.openfoodfacts.org/images/products/000/002/000/2985/front_en.6.400.jpg
20003234,"Crownfield,Lidl,Brüggen","Müzli, gyümölcsös",Müsli Multifrucht,346.0,9.1,5.3,60.8,https://images.openfoodfacts.org/images/products/000/002/000/3234/front_hu.92.400.jpg
20003258,"Alpen fest,Lidl",,semmelknödel,72.8,2.4,0.2,14.4,https://images.openfoodfacts.org/images/products/000/002/000/3258/front_de.78.400.jpg
20003395,"Belbake, Lidl",,Haselnüsse gemahlen,676.0,13.2,64.1,7.6,https://images.openfoodfacts.org/images/products/000/002/000/3395/front_fr.51.400.jpg
20003470,"Combino, lidl",,Fusilli pasta,350.0,12.5,1.2,70.5,https://images.openfoodfacts.org/images/products/000/002/000/3470/front_en.156.400.jpg
20004354,"Freshona, Sweet",Csemegeuborka,Csemegeuborka,35.0,0.5,0.1,7.1,https://images.openfoodfacts.org/images/products/000/002/000/4354/front_hu.33.400.jpg
