"Activity, Exercise or Sport (1 hour)",130 lb,155 lb,180 lb,205 lb,Calories per kg
"Kerékpározás, mountain bike, bmx",502,598,695,791,1.75072971940299
"Kerékpározás, <10 mph, szabadidős kerékpározás",236,281,327,372,0.823235629850746
"Kerékpározás, >20 mph, versenyzés",944,1126,1308,1489,3.29497352835821
"Kerékpározás, 10-11,9 mph, könnyű",354,422,490,558,1.23485344477612
"Kerékpározás, 12-13,9 mph, közepes",472,563,654,745,1.64782526567164
"Kerékpározás, 14-15,9 mph, erőteljes",590,704,817,931,2.05944308059702
"Kerékpározás, 16-19 mph, nagyon gyors, versenyzés",708,844,981,1117,2.47106089552239
Egykerekűzés,295,352,409,465,1.02972154029851
"Álló kerékpározás, nagyon könnyű",177,211,245,279,0.61742672238806
"Álló kerékpározás, könnyű",325,387,449,512,1.13262599402985
"Álló kerékpározás, mérsékelt",413,493,572,651,1.44133935522388
"Álló kerékpározás, lendületes",620,739,858,977,2.16234753432836
"Álló kerékpározás, nagyon lendületes",738,880,1022,1163,2.57464235223881
"Testmozgás, lendületes, fekvőtámaszok, felülések…",472,563,654,745,1.64782526567164
"Testmozgás, fény",207,246,286,326,0.721008179104478
"Köredzés, minimális pihenés",472,563,654,745,1.64782526567164
"Súlyemelés, testépítés, erőteljes",354,422,490,558,1.23485344477612
"Súlyemelés, könnyű edzés",177,211,245,279,0.61742672238806
Egészségklub edzés,325,387,449,512,1.13262599402985
Lépcső gép,531,633,735,838,1.85295717014925
"Evezős gép, könnyű",207,246,286,326,0.721008179104478
"Evezős gép, közepes",413,493,572,651,1.44133935522388
"Evezős gép, lendületes",502,598,695,791,1.75072971940299
"Evezős gép, nagyon lendületes",708,844,981,1117,2.47106089552239
Sígép,413,493,572,651,1.44133935522388
"Aerobik, alacsony hatás",295,352,409,465,1.02972154029851
"Aerobik, nagy hatás",413,493,572,651,1.44133935522388
"Aerobic, step aerobic",502,598,695,791,1.75072971940299
"Aerobik, általános",384,457,531,605,1.33843490149254
Jazzercise,354,422,490,558,1.23485344477612
"Nyújtás, hatha jóga",236,281,327,372,0.823235629850746
Enyhe nyújtás,148,176,204,233,0.515199271641791
Oktató aerob óra,354,422,490,558,1.23485344477612
Vízi aerobik,236,281,327,372,0.823235629850746
"Balett, twist, jazz, tap",266,317,368,419,0.927494089552239
