names,calorie,total fats,carbs,protein
nectarine,66,0.5,15.8,1.6
kiwifruit gold,51,0.2,12.8,0.8
prickly pear raw,8,0.072,1.9,0.001
pineapple,45,0.1,11.8,0.5
rowan,253,4.6,54.5,5.2
muscadine grapes,3,0.056,0.8,0.014
heidelbeeren jutro,17,0.2,0.4,0.0
prunes stewed,316,0.7,83.2,3.4
tangerine,40,0.2,10.1,0.6
prunes,237,0.5,62.3,2.6
lemon peel,1,0.002,0.3,0.032
banana,134,0.5,34.3,1.6
raspberries,5,0.034,1.2,0.1
apricot,17,0.1,3.9,0.5
strawberry guava,4,0.008,1.0,0.01
kiwifruit green,42,0.4,10.1,0.8
figs,37,0.2,9.6,0.4
clementine,35,0.1,8.9,0.6
orange,86,0.2,21.6,1.7
bartlett pear,112,0.3,26.6,0.7
red white currants,63,0.2,15.5,1.6
blueberries,84,0.5,21.4,1.1
mulberries,6,0.049,1.5,0.2
java plum,2,0.029,0.5,0.034
prune puree,46,0.02,11.7,0.4
applesauce,102,0.2,27.5,0.4
blackberries raw,62,0.7,13.8,2.0
plum,30,0.2,7.5,0.5
american grapes,2,0.087,0.4,0.035
peach,59,0.4,14.3,1.4
honeydew melon,64,0.2,16.1,1.0
yellow plantain fried,399,12.7,68.9,2.4
rose hips,206,0.4,48.5,2.0
lemons,17,0.2,5.4,0.6
lime,20,0.1,7.1,0.5
pomegranate,117,1.6,26.4,2.4
gooseberries,66,0.9,15.3,1.3
asian pear,51,0.3,13.0,0.6
abiyuch,157,0.2,40.1,3.4
horned melon kiwano,92,2.6,15.8,3.7
fruit walnut salad mcdonalds,312,13.3,43.8,4.8
grapefruit,53,0.2,13.3,1.0
japanese persimmon,118,0.3,31.2,1.0
wild raspberries,81,0.4,18.0,1.5
pink lady apple,18,0.1,3.9,0.1
maraschino cherries,8,0.083,2.1,0.06
black currants,71,0.5,17.2,1.6
plantain cooked,179,0.3,48.0,1.2
crab apple,84,0.3,21.9,0.4
pom potes materne,19,0.2,0.2,0.0
apple,95,0.3,25.1,0.5
cantaloupe melon,60,0.3,14.4,1.5
prickly pear cooked,7,0.043,1.6,0.091
guava,37,0.5,7.9,1.4
strawberries,4,0.069,0.9,0.01
japanese persimmon dried,93,0.2,25.0,0.5
watermelon,86,0.4,21.6,1.7
elderberries,106,0.7,26.7,1.0
kumquat,13,0.2,3.0,0.4
orange peel,6,0.017,1.5,0.093
pokeberry shoots cooked,33,0.7,5.1,3.8
breadfruit,227,0.5,59.7,2.4
pear,101,0.2,27.1,0.6
sour cherries,52,0.3,12.5,1.0
plantain raw,218,0.6,57.1,2.3
blackberries frozen,97,0.6,23.7,1.8
cherries,5,0.056,1.3,0.068
plantain fried,16,0.6,2.6,0.023
carambola starfruit,26,0.3,5.7,0.9
chayote cooked,35,0.8,7.2,1.0
apple dippers mcdonalds,33,0.0,8.2,0.0
white grapefruit,78,0.2,19.8,1.6
cherimoya,176,1.6,41.6,3.7
melon balls,57,0.4,13.7,1.5
golden delicious apple,62,0.2,14.8,0.3
pokeberry shoots raw,37,0.6,5.9,4.2
cranberries,21,0.014,5.4,0.2
quince,52,0.012,14.1,0.4
chayote raw,25,0.2,6.0,1.1
orange with peel,100,0.5,24.6,2.1
chokecherries,249,2.6,51.8,4.7
mango,202,1.3,50.3,2.8
wild plum,147,0.3,35.3,0.7
jeijoa,148,1.0,37.0,1.7
groundcherries,74,1.0,15.7,2.7
pesca,30,0.1,0.0,0.0
persimmon,32,0.1,8.4,0.2
grapes,3,0.044,0.9,0.045
rambutan canned,175,0.4,44.7,1.4
figs canned,14,0.039,3.8,0.1
prunes canned,246,0.5,65.1,2.0
pineapples canned,28,0.05,7.4,0.2
prune plums canned,27,0.075,7.0,0.2
tangerines canned,92,0.1,23.8,1.5
fruit cocktail canned,109,0.053,28.1,1.1
sour cherries canned,189,0.3,48.6,1.9
mangosteen canned,143,1.1,35.1,0.8
apricot juice,117,0.07,30.1,1.5
strawberries canned,234,0.7,59.8,1.4
peach canned,110,0.094,28.9,1.6
fruit salad canned,125,0.008,32.5,1.3
gooseberries canned,184,0.5,47.3,1.6
grapefruit canned,88,0.2,22.3,1.4
pear canned,38,0.001,9.8,0.3
raspberries canned,233,0.3,59.8,2.1
papaya canned,80,0.2,21.8,0.001
grapes canned,98,0.3,25.2,1.2
apple dried,145,0.2,39.1,0.6
peach dried,199,0.6,50.8,3.0
plantain chips,150,8.4,18.1,0.6
golden raisins,498,0.8,131.2,5.6
raisins seeded,488,0.9,129.5,4.2
zante currants dried,408,0.4,106.7,5.9
pear dried,94,0.2,25.1,0.7
raisins,90,0.056,23.8,1.0
prune plums dried,308,0.5,81.5,2.7
cranberries dried,370,1.6,98.8,0.053
figs dried,21,0.008,5.4,0.3
longans dried,5,0.091,1.3,0.027
banana chips,147,9.5,16.5,0.7
lychee dried,7,0.003,1.8,0.01
apricot dried,17,0.015,4.4,0.2
longan,2,0.076,0.5,0.009
mamey sapote,217,0.8,56.2,2.5
waxgourd cooked,19,0.4,4.3,0.7
jackfruit,33,0.2,8.1,0.6
loquats,9,0.071,2.4,0.09
mammy apple mamey,431,4.2,105.8,4.2
nance,82,1.3,19.0,0.7
coconut whole coconut,3336,71.5,0.0,0.0
prickly pear,42,0.5,9.9,0.8
lychee,6,0.016,1.6,0.024
naranjilla lulo pulp,30,0.3,7.1,0.5
coconut meat dried,187,18.3,6.7,1.9
waxgourd raw,17,0.3,4.0,0.5
surinam cherry pitanga,2,0.059,0.5,0.045
passion fruit,17,0.1,4.2,0.4
sapodilla,141,1.9,33.9,0.7
pummelo,48,0.06,12.0,1.0
coconut meat,1405,133.0,60.5,13.2
soursop,149,0.7,37.9,2.3
papaya,62,0.4,15.7,0.7
acerola cherry,2,0.052,0.4,0.079
ohelo berries,39,0.3,9.6,0.5
loganberries,81,0.5,19.1,2.2
casaba melon,48,0.2,11.2,1.9
durian,51,1.9,9.5,0.5
coriander leaves raw,4,0.086,0.6,0.3
garden cress raw,3,0.062,0.5,0.2
pasilla peppers dried,24,1.1,3.6,0.9
parsley dried,1,0.096,0.3,0.1
ancho pepper dried,48,1.4,8.7,2.0
coriander seeds,5,0.3,1.0,0.2
dill weed dried,253,4.4,55.8,20.0
borage,19,0.6,2.7,1.6
epazote,0,0.06,0.094,0.059
chives dried,1,0.055,0.1,0.013
thyme fresh,1,0.068,0.2,0.091
butterbur,4,0.2,0.5,0.1
wasabi root,142,0.8,30.6,6.2
rosemary dried,4,0.2,0.8,0.081
ginger root,2,0.028,0.4,0.068
white pepper,7,0.0,1.6,0.2
cloves ground,6,0.3,1.4,0.1
paprika,19,0.9,3.7,1.0
mace ground,25,1.7,2.7,0.4
bay leaf,2,0.042,0.4,0.086
eppaw,150,1.8,31.7,4.6
tarragon dried,2,0.047,0.3,0.1
ginger ground,6,0.043,1.3,0.2
savory ground,4,0.029,1.0,0.074
black pepper,6,0.006,1.5,0.2
spearmint fresh,3,0.089,0.5,0.2
poultry seasoning,14,0.3,2.9,0.4
nutmeg ground,12,0.8,1.1,0.1
curry powder,20,0.9,3.7,0.8
peppermint,1,0.004,0.2,0.038
salt,0,0.0,0.0,0.0
coriander leaves dried,2,0.098,0.3,0.1
sage ground,2,0.046,0.4,0.058
garlic powder,10,0.029,2.3,0.5
dill weed fresh,4,0.063,0.6,0.3
cardamom,6,0.1,1.4,0.2
saffron,2,0.092,0.5,0.071
allspice ground,5,0.2,1.4,0.1
parsley fresh,1,0.078,0.2,0.1
oregano dried,265,4.3,68.9,9.0
marjoram dried,5,0.1,1.0,0.2
chives raw,1,0.088,0.1,0.03
fireweed leaves,24,0.6,4.4,1.1
rosemary fresh,1,0.1,0.1,0.005
garlic,4,0.026,0.9,0.2
cinnamon ground,6,0.044,2.1,0.1
chervil dried,5,0.002,0.9,0.4
cayenne pepper,1,0.094,0.2,0.039
turmeric ground,8,0.2,1.4,0.2
mustard,3,0.2,0.3,0.2
chili powder,8,0.4,1.3,0.4
thyme dried,276,7.4,63.9,9.1
spearmint dried,1,0.018,0.3,0.094
basil dried,2,0.027,0.3,0.2
dandelion greens cooked,35,0.6,6.7,2.1
basil fresh,2,0.089,0.2,0.2
dock,29,0.9,4.3,2.7
garden cress cooked,31,0.8,5.1,2.6
onion powder,8,0.024,1.9,0.2
dandelion greens raw,25,0.4,5.1,1.5
yokan,36,0.022,8.5,0.5
fava beans cooked,187,0.7,33.4,12.9
french beans raw,631,3.7,118.0,34.6
chickpeas canned,352,7.0,57.0,17.8
yellow beans cooked,255,1.9,44.7,16.2
mung beans cooked,212,0.8,38.7,14.2
white beans canned,299,0.8,55.5,19.0
pink beans cooked,252,0.8,47.2,15.3
pink beans raw,720,2.4,134.8,44.0
navy beans raw,701,3.1,126.4,46.4
snap beans cooked,44,0.4,9.9,2.4
black eyed cowpeas raw,131,0.5,27.3,4.3
edamame cooked,189,8.1,13.8,18.5
black eyed cowpeas cooked,160,0.6,33.5,5.2
hyacinth beans cooked,227,1.1,40.2,15.8
cowpeas canned,185,1.3,32.7,11.4
pinto beans cooked,245,1.1,44.8,15.4
winged beans cooked,253,10.0,25.7,18.3
pinto beans raw,670,2.4,120.7,41.3
black turtle beans raw,624,1.7,116.4,39.1
fava beans raw,512,2.3,87.4,39.2
lima beans canned,190,0.4,35.9,11.9
hyacinth beans raw,722,3.5,127.6,50.2
