names,calorie,total fats,carbs,protein
nektarin,66,0.5,15.8,1.6
kivi arany,51,0.2,12.8,0.8
fügekaktusz nyersen,8,0.072,1.9,0.001
ananász,45,0.1,11.8,0.5
vörösberkenyefa,253,4.6,54.5,5.2
muscadine szőlő,3,0.056,0.8,0.014
heidelbeeren jutro,17,0.2,0.4,0.0
aszalt szilva párolt,316,0.7,83.2,3.4
mandarin,40,0.2,10.1,0.6
aszalt szilva,237,0.5,62.3,2.6
citromhéj,1,0.002,0.3,0.032
banán,134,0.5,34.3,1.6
málna,5,0.034,1.2,0.1
sárgabarack,17,0.1,3.9,0.5
eper guava,4,0.008,1.0,0.01
kiwi zöld,42,0.4,10.1,0.8
füge,37,0.2,9.6,0.4
klementin,35,0.1,8.9,0.6
narancs,86,0.2,21.6,1.7
bartlett körte,112,0.3,26.6,0.7
piros fehér ribizli,63,0.2,15.5,1.6
áfonya,84,0.5,21.4,1.1
eperfa,6,0.049,1.5,0.2
java szilva,2,0.029,0.5,0.034
szilvapüré,46,0.02,11.7,0.4
almaszósz,102,0.2,27.5,0.4
szeder nyersen,62,0.7,13.8,2.0
szilva,30,0.2,7.5,0.5
amerikai szőlő,2,0.087,0.4,0.035
őszibarack,59,0.4,14.3,1.4
sárgadinnye,64,0.2,16.1,1.0
sárga útifű sütve,399,12.7,68.9,2.4
csipkebogyó,206,0.4,48.5,2.0
citrom,17,0.2,5.4,0.6
mész,20,0.1,7.1,0.5
gránátalma,117,1.6,26.4,2.4
egres,66,0.9,15.3,1.3
ázsiai körte,51,0.3,13.0,0.6
abiyuch,157,0.2,40.1,3.4
szarvas dinnye kiwano,92,2.6,15.8,3.7
gyümölcs diósaláta mcdonalds,312,13.3,43.8,4.8
grapefruit,53,0.2,13.3,1.0
japán datolyaszilva,118,0.3,31.2,1.0
erdei málna,81,0.4,18.0,1.5
rózsaszín hölgy alma,18,0.1,3.9,0.1
maraschino cseresznye,8,0.083,2.1,0.06
fekete ribizli,71,0.5,17.2,1.6
útifű főtt,179,0.3,48.0,1.2
rák alma,84,0.3,21.9,0.4
pom potes materne,19,0.2,0.2,0.0
alma,95,0.3,25.1,0.5
sárgadinnye,60,0.3,14.4,1.5
fügekaktusz főtt,7,0.043,1.6,0.091
gujávafa,37,0.5,7.9,1.4
eper,4,0.069,0.9,0.01
japán datolyaszilva szárított,93,0.2,25.0,0.5
görögdinnye,86,0.4,21.6,1.7
bodza,106,0.7,26.7,1.0
kumquat,13,0.2,3.0,0.4
narancshéj,6,0.017,1.5,0.093
pokeberry hajtások főzve,33,0.7,5.1,3.8
kenyérgyümölcs,227,0.5,59.7,2.4
körte,101,0.2,27.1,0.6
meggy,52,0.3,12.5,1.0
útifű nyersen,218,0.6,57.1,2.3
fagyasztott szeder,97,0.6,23.7,1.8
cseresznye,5,0.056,1.3,0.068
útifű sült,16,0.6,2.6,0.023
karambola csillaggyümölcs,26,0.3,5.7,0.9
chayote főtt,35,0.8,7.2,1.0
Apple dippers McDonalds,33,0.0,8.2,0.0
fehér grapefruit,78,0.2,19.8,1.6
cherimoya,176,1.6,41.6,3.7
dinnye golyókat,57,0.4,13.7,1.5
arany finom alma,62,0.2,14.8,0.3
pokeberry hajtások nyersen,37,0.6,5.9,4.2
áfonya,21,0.014,5.4,0.2
birsalma,52,0.012,14.1,0.4
chayote nyersen,25,0.2,6.0,1.1
narancs héjjal,100,0.5,24.6,2.1
chokecseresznye,249,2.6,51.8,4.7
mangó,202,1.3,50.3,2.8
vadszilva,147,0.3,35.3,0.7
jeijoa,148,1.0,37.0,1.7
őrölt cseresznye,74,1.0,15.7,2.7
pesca,30,0.1,0.0,0.0
datolyaszilva,32,0.1,8.4,0.2
szőlő,3,0.044,0.9,0.045
rambután konzerv,175,0.4,44.7,1.4
füge konzerv,14,0.039,3.8,0.1
